6:34:27 PM  [main] 	Initializing Control Panel
6:34:27 PM  [main] 	Windows Version:  Home  64-bit
6:34:27 PM  [main] 	XAMPP Version: 8.2.0
6:34:27 PM  [main] 	Control Panel Version: 3.3.0  [ Compiled: Apr 6th 2021 ]
6:34:27 PM  [main] 	You are not running with administrator rights! This will work for
6:34:27 PM  [main] 	most application stuff but whenever you do something with services
6:34:27 PM  [main] 	there will be a security dialogue or things will break! So think 
6:34:27 PM  [main] 	about running this application with administrator rights!
6:34:27 PM  [main] 	XAMPP Installation Directory: "c:\xampp\"
6:34:27 PM  [main] 	Checking for prerequisites
6:34:28 PM  [main] 	All prerequisites found
6:34:28 PM  [main] 	Initializing Modules
6:34:28 PM  [main] 	Starting Check-Timer
6:34:28 PM  [main] 	Control Panel Ready
6:34:30 PM  [Apache] 	Attempting to start Apache app...
6:34:30 PM  [Apache] 	Status change detected: running
12:48:18 PM  [main] 	Deinitializing Modules
12:48:18 PM  [main] 	Deinitializing Control Panel

